Project, Fun, Type, Info, Line Num, Filename, Link,
openshift/source-to-image,TimeoutAfter,Integer as a chan bound,Name : &{6944340 INT 1},31,/tmp/clone-example674272179/pkg/util/timeout.go,https://github.com/openshift/source-to-image/blob/aca6e1b30336192ce99b409caf82c85cad84eeef//tmp/clone-example674272179/pkg/util/timeout.go#L31,
openshift/source-to-image,Run,Integer as a chan bound,Name : &{3238606 INT 1},66,/tmp/clone-example674272179/pkg/util/interrupt/interrupt.go,https://github.com/openshift/source-to-image/blob/aca6e1b30336192ce99b409caf82c85cad84eeef//tmp/clone-example674272179/pkg/util/interrupt/interrupt.go#L66,
rancher/os,selectDatasource,Integer as a add bound,Name : &{3180644 INT 1},319,/tmp/clone-example155141656/cmd/cloudinitsave/cloudinitsave.go,https://github.com/rancher/os/blob/b3d0b298c54ae6452906c61b44ecfab696f073f1//tmp/clone-example155141656/cmd/cloudinitsave/cloudinitsave.go#L319,
rancher/os,selectDatasource,For loop not well formed,Init : <nil> Cond : <nil> Post : <nil>,324,/tmp/clone-example155141656/cmd/cloudinitsave/cloudinitsave.go,https://github.com/rancher/os/blob/b3d0b298c54ae6452906c61b44ecfab696f073f1//tmp/clone-example155141656/cmd/cloudinitsave/cloudinitsave.go#L324,
rancher/os,selectDatasource,Go in for,,320,/tmp/clone-example155141656/cmd/cloudinitsave/cloudinitsave.go,https://github.com/rancher/os/blob/b3d0b298c54ae6452906c61b44ecfab696f073f1//tmp/clone-example155141656/cmd/cloudinitsave/cloudinitsave.go#L320,
rancher/os,selectDatasource,Slice as a for bound,Name : []invalid type,318,/tmp/clone-example155141656/cmd/cloudinitsave/cloudinitsave.go,https://github.com/rancher/os/blob/b3d0b298c54ae6452906c61b44ecfab696f073f1//tmp/clone-example155141656/cmd/cloudinitsave/cloudinitsave.go#L318,
rancher/os,run,Candidate param,Name : lines, Mandatory : true,84,/tmp/clone-example155141656/cmd/respawn/respawn.go,https://github.com/rancher/os/blob/b3d0b298c54ae6452906c61b44ecfab696f073f1//tmp/clone-example155141656/cmd/respawn/respawn.go#L84,
rancher/os,run,Candidate param,Name : lines, Mandatory : false,93,/tmp/clone-example155141656/cmd/respawn/respawn.go,https://github.com/rancher/os/blob/b3d0b298c54ae6452906c61b44ecfab696f073f1//tmp/clone-example155141656/cmd/respawn/respawn.go#L93,
rancher/os,run,Func as a chan bound,Name : len(lines),84,/tmp/clone-example155141656/cmd/respawn/respawn.go,https://github.com/rancher/os/blob/b3d0b298c54ae6452906c61b44ecfab696f073f1//tmp/clone-example155141656/cmd/respawn/respawn.go#L84,
rancher/os,run,len() as a chan bound,Name : len(lines),84,/tmp/clone-example155141656/cmd/respawn/respawn.go,https://github.com/rancher/os/blob/b3d0b298c54ae6452906c61b44ecfab696f073f1//tmp/clone-example155141656/cmd/respawn/respawn.go#L84,
