Project, Fun, Type, Mandatory, Info, Line Num, Filename, Link,
gobwas/ws,Read,Candidate param,false,Name : n,55,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/wsutil/utf8.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/wsutil/utf8.go#L55,
gobwas/ws,Read,Integer as a for bound,false,Name : n,55,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/wsutil/utf8.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/wsutil/utf8.go#L55,
gobwas/ws,Read,Integer as a for bound,false,Name : &{6608780 INT 0},55,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/wsutil/utf8.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/wsutil/utf8.go#L55,
gobwas/ws,Cipher,Candidate param,false,Name : n,18,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/cipher.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/cipher.go#L18,
gobwas/ws,Cipher,Candidate param,false,Name : ln,32,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/cipher.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/cipher.go#L32,
gobwas/ws,Cipher,Candidate param,false,Name : n,35,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/cipher.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/cipher.go#L35,
gobwas/ws,Cipher,Candidate param,false,Name : n,35,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/cipher.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/cipher.go#L35,
gobwas/ws,Cipher,Candidate param,false,Name : rn,35,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/cipher.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/cipher.go#L35,
gobwas/ws,Cipher,Candidate param,false,Name : n,49,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/cipher.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/cipher.go#L49,
gobwas/ws,Cipher,Integer as a for bound,false,Name : n,18,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/cipher.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/cipher.go#L18,
