Project, Model, Fun, Type, Mandatory, Info, Line Num, Filename, Link
erroneousboat/slack-term,service++GetChannels77,GetChannels,new WaitGroup,false,Name :wg,137,https://github.com/erroneousboat/slack-term/blob/c19c20a3e5c597d6d60582fcba1a3523415e8fe4/service/slack.go#L77,c19c20a3e5c597d6d60582fcba1a3523415e8fe4
erroneousboat/slack-term,service++GetChannels77,GetChannels,Map as a range bound,false,map[int]map[string]*github.com/erroneousboat/slack-term/service.tempChan,223,https://github.com/erroneousboat/slack-term/blob/c19c20a3e5c597d6d60582fcba1a3523415e8fe4/service/slack.go#L77,c19c20a3e5c597d6d60582fcba1a3523415e8fe4
erroneousboat/slack-term,service++GetChannels77,GetChannels,Map as a range bound,false,map[string]*github.com/erroneousboat/slack-term/service.tempChan,235,https://github.com/erroneousboat/slack-term/blob/c19c20a3e5c597d6d60582fcba1a3523415e8fe4/service/slack.go#L77,c19c20a3e5c597d6d60582fcba1a3523415e8fe4
tj/mmake,installer++Install61,Install,Actual Param,true,paths,0,https://github.com/tj/mmake/blob/c7cc9d972676d84ee890ad6a1c6183dd708a773f/installer/installer.go#L61,c7cc9d972676d84ee890ad6a1c6183dd708a773f
tj/mmake,installer++Install61,Install,Comm Param,true,paths,62,https://github.com/tj/mmake/blob/c7cc9d972676d84ee890ad6a1c6183dd708a773f/installer/installer.go#L61,c7cc9d972676d84ee890ad6a1c6183dd708a773f
tj/mmake,installer++Install61,Install,Func as a chan bound,true,len(paths),62,https://github.com/tj/mmake/blob/c7cc9d972676d84ee890ad6a1c6183dd708a773f/installer/installer.go#L61,c7cc9d972676d84ee890ad6a1c6183dd708a773f
tj/mmake,installer++Install61,Install,len() as a chan bound,true,len(paths),62,https://github.com/tj/mmake/blob/c7cc9d972676d84ee890ad6a1c6183dd708a773f/installer/installer.go#L61,c7cc9d972676d84ee890ad6a1c6183dd708a773f
tj/mmake,installer++Install61,Install,new channel,false,Name :done,62,https://github.com/tj/mmake/blob/c7cc9d972676d84ee890ad6a1c6183dd708a773f/installer/installer.go#L61,c7cc9d972676d84ee890ad6a1c6183dd708a773f
tj/mmake,installer++Install61,Install,Comm Param,true,paths,63,https://github.com/tj/mmake/blob/c7cc9d972676d84ee890ad6a1c6183dd708a773f/installer/installer.go#L61,c7cc9d972676d84ee890ad6a1c6183dd708a773f
tj/mmake,installer++Install61,Install,Func as a chan bound,true,len(paths),63,https://github.com/tj/mmake/blob/c7cc9d972676d84ee890ad6a1c6183dd708a773f/installer/installer.go#L61,c7cc9d972676d84ee890ad6a1c6183dd708a773f
tj/mmake,installer++Install61,Install,len() as a chan bound,true,len(paths),63,https://github.com/tj/mmake/blob/c7cc9d972676d84ee890ad6a1c6183dd708a773f/installer/installer.go#L61,c7cc9d972676d84ee890ad6a1c6183dd708a773f
tj/mmake,installer++Install61,Install,new channel,false,Name :errs,63,https://github.com/tj/mmake/blob/c7cc9d972676d84ee890ad6a1c6183dd708a773f/installer/installer.go#L61,c7cc9d972676d84ee890ad6a1c6183dd708a773f
tj/mmake,installer++Install61,Install,Comm Param,true,paths,65,https://github.com/tj/mmake/blob/c7cc9d972676d84ee890ad6a1c6183dd708a773f/installer/installer.go#L61,c7cc9d972676d84ee890ad6a1c6183dd708a773f
tj/mmake,installer++Install61,Install,Slice as a spawning range bound,true,paths,65,https://github.com/tj/mmake/blob/c7cc9d972676d84ee890ad6a1c6183dd708a773f/installer/installer.go#L61,c7cc9d972676d84ee890ad6a1c6183dd708a773f
tj/mmake,installer++Install61,Install,Comm Param,false,paths,79,https://github.com/tj/mmake/blob/c7cc9d972676d84ee890ad6a1c6183dd708a773f/installer/installer.go#L61,c7cc9d972676d84ee890ad6a1c6183dd708a773f
