Name of Model,Num of communication parameters,Send on close,Close on close,Negative counter,unlock unlocked,Model deadlock
jmoiron--sqlx:reflectx++TestPtrFields388.pml,0,0,0,0,0,0
moby--moby:drivers++TestGetDriver9.pml,0,0,0,0,0,0
golang--go:race_test++TestRaceIssue56541938.pml,1,0,0,0,0,0
hashicorp--terraform:command++TestStateShow15.pml,0,0,0,0,0,0
stretchr--testify:assert++TestNotErrorIs2423.pml,1,0,0,0,0,0
ethereum--go-ethereum:metrics++TestMeterDecay24.pml,0,0,0,0,0,0
hashicorp--consul:authmethodcreate++Run146.pml,0,0,0,0,0,0
hashicorp--packer:packer++TestBuildPrepare_variables_default172.pml,4,0,0,0,0,0
istio--istio:kubemesh++TestNewConfigMapWatcher108.pml,1,0,0,0,0,0
golang--go:rpc++countMallocs576.pml,0,0,0,0,0,0
GoogleContainerTools--skaffold:jib++resolveJVM50.pml,0,0,0,0,0,0
vitessio--vitess:vtgate++TestTxConnResolveReadTransactionFail990.pml,0,0,0,0,0,0
tal-tech--go-zero:handler++TestSheddingHandlerReject56.pml,0,0,0,0,0,0
kubernetes--minikube:cruntime++CGroupDriver201.pml,1,0,0,0,0,0
wtfutil--wtf:mercurial++pull78.pml,0,0,0,0,0,0
go-kratos--kratos:errors++IsAlreadyExists115.pml,0,0,0,0,0,0
hashicorp--vault:userpass++TestBackend_CRUD25.pml,0,0,0,0,0,0
hashicorp--consul:consul++TestLoggerStore_Named10.pml,0,0,0,0,0,0
pingcap--tidb:expression++getFunction413.pml,0,0,0,0,0,0
fyne-io--fyne:canvas++TestBase_MinSize11.pml,0,0,0,0,0,0
cli--cli:fork++TestRepoFork_in_parent_survey_no601.pml,1,0,0,0,0,0
istio--istio:inject++testInjectionTemplate422.pml,0,0,0,0,0,0
hyperledger--fabric:localconfig++TestLoadMalformedConfigFile85.pml,0,0,0,0,0,0
kubernetes--kubernetes:azuredd++NewDetacher205.pml,0,0,0,0,0,0
photoprism--photoprism:config++TestConfig_OriginalsPath135.pml,0,0,0,0,0,0
pingcap--tidb:testutil++Check92.pml,0,0,0,0,0,0
gin-gonic--gin:gin++TestContextHandler383.pml,0,0,0,0,0,0
golang--go:race_test++TestRaceConv2100.pml,0,0,0,0,0,0
golang--go:cgi++TestChildContentType151.pml,1,0,0,0,0,0
golang--go:race_test++TestRaceForTest386.pml,1,0,0,0,0,0
mattermost--mattermost-server:searchtest++testSearchTermsWithDots1554.pml,0,0,0,0,0,0
elastic--beats:monitor++TestMapMetric57.pml,0,0,0,0,0,0
hashicorp--terraform:command++TestInit_pluginDirWithBuiltIn2026.pml,0,0,0,0,0,0
kubernetes--kops:instancegroups++TestRollingUpdateDisabledSurgeOS105.pml,1,0,0,0,0,0
ethereum--go-ethereum:node++TestRegisterHandler_Unsuccessful426.pml,0,0,0,0,0,0
kubernetes--kubernetes:master++TestAccept525.pml,0,0,0,0,0,0
kubernetes--kubernetes:images++TestFreeSpaceRemoveByLeastRecentlyUsed300.pml,6,0,0,0,0,0
docker--compose:compose++TestInDependencyUpCommandOrder47.pml,0,0,0,0,0,1
hyperledger--fabric:flogging_test++TestGlobalReset18.pml,0,0,0,0,0,0
golang--go:race_test++TestRaceIssue12664_466.pml,0,0,0,0,0,0
rclone--rclone:vfs++TestRcRefresh80.pml,0,0,0,0,0,0
hashicorp--terraform:command++TestStatePull12.pml,0,0,0,0,0,0
golang--go:race_test++TestRaceCompareString572.pml,0,0,0,0,0,0
kubernetes--kops:vfs++Test_CreateFile133.pml,0,0,0,0,0,0
istio--istio:tokenmanager++TestStsCache68.pml,0,0,0,0,0,0
hashicorp--vault:minio++Conn86.pml,0,0,0,0,0,0
influxdata--telegraf:http_listener_v2++TestWriteHTTPSNoClientAuth128.pml,0,0,0,0,0,0
drone--drone:livelog++TestSubscription_stop59.pml,0,0,0,0,0,0
chrislusf--seaweedfs:operation++DeleteFilesWithLookupVolumeId50.pml,4,0,0,0,0,0
hashicorp--terraform:command++TestStateMv_stateOutNew_largeCount1008.pml,0,0,0,0,0,0
hashicorp--consul:put++Run75.pml,0,0,0,0,0,0
minio--minio:lock++TestRWLockedFile66.pml,0,0,0,0,0,0
influxdata--telegraf:influxdb_v2_listener++getSecureClient75.pml,0,0,0,0,0,0
elastic--beats:meta++TestStore33.pml,0,0,0,0,0,0
kubernetes--kubernetes:nestedpendingoperations++Test_NestedPendingOperations_Positive_Wait507.pml,0,0,0,0,0,1
uber-go--zap:zapcore++TestPutNilEntry48.pml,0,0,0,0,0,0
kubernetes--kops:memberlist++NewMemberlistGossiper48.pml,1,0,0,0,0,0
kubernetes--kubernetes:userspace++TestStickyLoadBalanceWorksWithEndpointFails629.pml,1,0,0,0,0,0
ipfs--go-ipfs:corehttp++TestUriQueryRedirect164.pml,0,0,0,0,0,0
hashicorp--terraform:command++TestStateRm_backupExplicit291.pml,0,0,0,0,0,0
vitessio--vitess:mysqlctl++GetVersionString204.pml,0,0,0,0,0,0
hashicorp--vault:transit++createBackendWithSysViewWithStorage67.pml,0,0,0,0,0,0
kubernetes--kubernetes:kuberuntime++TestGetImageRef91.pml,0,0,0,0,0,0
golang--go:race_test++TestRaceDeferArg21533.pml,0,0,0,0,0,0
golang--go:zip++TestWriterUTF8157.pml,1,0,0,0,0,0
kubernetes--kops:vfs++getRegionFromMetadata345.pml,0,0,0,0,0,0
kubernetes--kops:openstackmodel++RunGoldenTest987.pml,0,0,0,0,0,0
caddyserver--caddy:fastcgi++sendFcgi121.pml,5,0,0,0,0,0
hashicorp--consul:router++TestRouter_FindLANServer513.pml,0,0,0,0,0,0
influxdata--telegraf:neptuneapex++Gather81.pml,1,0,0,0,0,0
fyne-io--fyne:internal++TestPrefs_SetInt72.pml,1,0,0,0,0,0
pingcap--tidb:executor++GetTextToLog1152.pml,0,0,0,0,0,0
grafana--k6:cmd++TestConfigConsolidation615.pml,2,0,0,0,0,0
go-gitea--gitea:routes++installRecovery24.pml,0,0,0,0,0,0
hyperledger--fabric:privdata++TestNewDataRetriever_FailedObtainConfigHistoryRetriever409.pml,0,0,0,0,0,0
photoprism--photoprism:config++TestConfig_DisableBackups9.pml,0,0,0,0,0,0
golang--go:smtp++TestNewClientWithTLS590.pml,0,0,0,0,0,0
hashicorp--terraform:command++TestStateMv23.pml,2,0,0,0,0,0
hashicorp--consul:dc++TestCatalogListDatacentersCommand_Validation18.pml,1,0,0,0,0,0
helm--helm:kube++perform343.pml,1,0,0,0,0,0.3333333333333330
photoprism--photoprism:config++TestConfig_SipsBin58.pml,0,0,0,0,0,0
golang--go:race_test++TestRaceTLS1150.pml,0,0,0,0,0,1
kubernetes--kubernetes:auth++TestSelfSubjectAccessReview147.pml,1,0,0,0,0,0
hashicorp--packer:packer++TestBuild_Prepare_SkipWhenBuilderAlreadyInitialized95.pml,4,0,0,0,0,0
photoprism--photoprism:config++TestConfig_Flags29.pml,0,0,0,0,0,0
golang--go:race_test++TestRaceCaseTypeIssue5890287.pml,0,0,0,0,0,0
kubernetes--kops:aliup++NewALICloud94.pml,0,0,0,0,0,0
hashicorp--terraform:command++TestImport_missingResourceConfig738.pml,0,0,0,0,0,0
influxdata--telegraf:cloud_pubsub++TestPubSub_WriteBase64Single127.pml,1,0,0,0,0,0
grpc-ecosystem--grpc-gateway:descriptor++loadGrpcAPIServiceFromYAML13.pml,0,0,0,0,0,0
mattermost--mattermost-server:templates++TestNewWithWatcher_BadDirectory56.pml,0,0,0,0,0,0
fyne-io--fyne:canvas++TestBase_Move19.pml,0,0,0,0,0,0
moby--moby:splunk++TestBufferMaximum1138.pml,1,0,0,0,0,0
influxdata--telegraf:powerdns_recursor++TestPowerdnsRecursorGeneratesMetrics99.pml,1,0,0,0,0,0
cloudreve--Cloudreve:oss++TestDriver_Get286.pml,0,0,0,0,0,0
kataras--iris:netutil++Client13.pml,0,0,0,0,0,0
hashicorp--vault:command++TestStatusFormat90.pml,0,0,0,0,0,0
pingcap--tidb:implementation++CalcCost170.pml,0,0,0,0,0,0
golang--go:race_test++TestNoRaceSliceRangeAppend309.pml,1,0,0,0,0,0
grpc--grpc-go:sts++TestGetRequestMetadataSuccess245.pml,0,0,0,0,0,0
influxdata--telegraf:disque++Gather66.pml,1,0,0,0,0,0
ethereum--go-ethereum:geth++NewEthereumClient34.pml,0,0,0,0,0,0
istio--istio:event_test++TestRouter_Single_MultiListener68.pml,1,0,0,0,0,0
prometheus--prometheus:adapter++TestWriteOutput232.pml,0,0,0,0,0,0
jmoiron--sqlx:reflectx++TestBasicEmbedded38.pml,0,0,0,0,0,0
containers--podman:tunnel++ContainerRun677.pml,1,0,0,0,0,1
photoprism--photoprism:config++TestConfig_ThumbSizeUncached44.pml,0,0,0,0,0,0
istio--istio:inmemory++TestKubeSource_Clear162.pml,2,0,0,0,0,0
grpc-ecosystem--grpc-gateway:runtime_test++TestProtoEncoderDecodert63.pml,0,0,0,0,0,0
golang--go:expvar++TestMapDelete187.pml,1,0,0,0,0,0
drone--drone:user++TestUser19.pml,0,0,0,0,0,0
mattermost--mattermost-server:model++TestPostActionIntegrationResponseToJson101.pml,0,0,0,0,0,0
hyperledger--fabric:channel++TestCreateChainWithTimeoutErr300.pml,0,0,0,0,0,0
pingcap--tidb:core++GetCost1953.pml,0,0,0,0,0,0
go-gitea--gitea:git++TestRepository_GetBlob_Found16.pml,1,0,0,0,0,0
syncthing--syncthing:model++TestSharedWithClearedOnDisconnect2190.pml,1,0,0,0,0,0
elastic--beats:azureeventhub++TestParseMultipleMessages75.pml,2,0,0,0,0,0
golang--go:race_test++TestRaceComplement492.pml,0,0,0,0,0,0
photoprism--photoprism:config++TestConfig_LogFilename2303.pml,0,0,0,0,0,0
hyperledger--fabric:chainmgmt++TestChainMgmt18.pml,1,0,0,0,0,0
cloudreve--Cloudreve:filesystem++TestFileSystem_IsFileExist12.pml,0,0,0,0,0,0
pingcap--tidb:executor++buildTableScan260.pml,0,0,0,0,0,0
fyne-io--fyne:internal++TestPrefs_Bool17.pml,1,0,0,0,0,0
influxdata--telegraf:cloud_pubsub++refreshTopic179.pml,0,0,0,0,0,0
dapr--dapr:credentials++GetClientOptions38.pml,0,0,0,0,0,0
grpc--grpc-go:interop++DoComputeEngineCreds254.pml,0,0,0,0,0,0
golang--go:race_test++TestNoRaceWaitGroupMultipleWait131.pml,0,0,0,0,0,0
kubernetes--kubernetes:kuberuntime++TestPullImageWithError48.pml,2,0,0,0,0,0
gin-gonic--gin:gin++TestContextSetCookiePathEmpty637.pml,0,0,0,0,0,0
GoogleContainerTools--skaffold:docker++GetAllAuthConfigs92.pml,0,0,0,0,0,1
istio--istio:event_test++TestTransformer_Selection57.pml,1,0,0,0,0,0
syncthing--syncthing:nat++discoverAll23.pml,2,0,0,0,0,0
cli--cli:api++Test_NewCmdApi26.pml,1,0,0,0,0,0
minio--minio:lsync_test++doTestParallelReaders154.pml,1,0,0,0,0,0.6666666666666670
go-kratos--kratos:errors++IsNotFound96.pml,0,0,0,0,0,0
hashicorp--vault:api++TestRenewer_Renew11.pml,0,0,0,0,0,0
rancher--rancher:types++NewClient14.pml,0,0,0,0,0,0
vitessio--vitess:messager++TestMessagerCacheOrder26.pml,0,0,0,0,0,0
golang--go:race_test++TestRaceMethodCall21441.pml,0,0,0,0,0,0
sirupsen--logrus:logrus++TestEscaping_Interface119.pml,6,0,0,0,0,0
GoogleContainerTools--skaffold:bazel++GetDependencies45.pml,1,0,0,0,0,0
tal-tech--go-zero:logx++doTestStructedLog407.pml,0,0,0,0,0,0
kubernetes--kubernetes:userspace++TestStickyLoadBalanceWorksWithNewServiceCalledFirst312.pml,1,0,0,0,0,0
kubernetes--kubernetes:flowcontrol++TestPriorityLevelIsolation70.pml,2,0,0,0,0,0
moby--moby:request++SockConn191.pml,0,0,0,0,0,0
kubernetes--kubernetes:goroutinemap++Test_NewGoRoutineMap_Positive_SecondOpAfterFirstCompletesWithExpBackoff127.pml,0,0,0,0,0,1
gogs--gogs:email++Send101.pml,1,0,0,0,0,0
gravitational--teleport:mongodb++NewTestServer73.pml,0,0,0,0,0,0
go-gitea--gitea:routes++Recovery146.pml,0,0,0,0,0,0
kubernetes--kubernetes:master++TestAppsGroupBackwardCompatibility477.pml,1,0,0,0,0,0
photoprism--photoprism:config++TestConfig_BackupPath89.pml,0,0,0,0,0,0
prometheus--prometheus:notifier++TestCustomDo208.pml,0,0,0,0,0,0
golang--go:race_test++TestRaceIfaceWW772.pml,0,0,0,0,0,0
golang--go:race_test++TestRaceError842.pml,0,0,0,0,0,0
photoprism--photoprism:api++TestBatchAlbumsDelete95.pml,0,0,0,0,0,0
hashicorp--vault:aws++createGroup361.pml,1,0,0,0,0,0
golang--go:race_test++TestRaceCond34.pml,0,0,0,0,0,0
hashicorp--terraform:command++TestStateMv_resourceToInstanceErrInAutomation320.pml,0,0,0,0,0,0
rclone--rclone:restic++TestCacheCRUD23.pml,1,0,0,0,0,0
