Model, Opt, #states, Time (ms), Channel Safety Error, Global Deadlock, Error, Comm param info,
rancher-os:cloudinitsave_selectDatasource313.pml,0,86,6365,false,false,,selectDatasource_sources = 0,,
rancher-os:cloudinitsave_selectDatasource313.pml,0,107,5736,false,true,,selectDatasource_sources = 1,,
rancher-os:cloudinitsave_selectDatasource313.pml,0,55,5756,false,true,,selectDatasource_sources = 3,,
rancher-os:respawn_run63.pml,0,12,6125,false,false,,run_lines = 0,,
rancher-os:respawn_run63.pml,0,16,6742,false,true,,run_lines = 1,,
rancher-os:respawn_run63.pml,0,24,5885,false,true,,run_lines = 3,,
ansible-semaphore-semaphore:api_findLDAPUser22.pml,0,16,4532,false,false,,,
ansible-semaphore-semaphore:sockets_Handler106.pml,0,7,4556,false,false,,,
jordan-wright-email:email_NewPool47.pml,0,14,4732,false,false,,NewPool_count = 0,,
jordan-wright-email:email_NewPool47.pml,0,15,4746,false,false,,NewPool_count = 1,,
jordan-wright-email:email_NewPool47.pml,0,15,4656,false,false,,NewPool_count = 3,,
perkeep-perkeep:android_androidLookupHost164.pml,0,43,4990,false,false,,,
perkeep-perkeep:app_Quit536.pml,0,18,4836,false,true,,,
perkeep-perkeep:blobpacked_anyZipPacks775.pml,0,22,4794,false,false,,,
perkeep-perkeep:dockertest_loadCamliHubImage73.pml,0,25,5273,false,true,,,
perkeep-perkeep:encrypt_readAllMetaBlobs242.pml,0,69,5624,false,false,,,
perkeep-perkeep:fs_Unmount28.pml,0,32,4883,false,true,,,
perkeep-perkeep:gc_Collect125.pml,0,26,6057,false,false,,,
perkeep-perkeep:gc_markItem88.pml,0,15,6579,false,false,,,
perkeep-perkeep:gce_Create474.pml,0,27,6272,false,false,,,
perkeep-perkeep:gce_enableAPIs332.pml,0,39,5809,false,false,,enableAPIs_requiredServices = 0,,
perkeep-perkeep:gce_enableAPIs332.pml,0,163,5633,false,false,,enableAPIs_requiredServices = 1,,
perkeep-perkeep:gce_enableAPIs332.pml,0,3668,5407,false,false,,enableAPIs_requiredServices = 3,,
perkeep-perkeep:gpgchallenge_NewClient515.pml,0,11,4787,false,false,,,
perkeep-perkeep:gphotos_importPhotos335.pml,0,9,4341,false,false,,,
perkeep-perkeep:importer_NewHost216.pml,0,5,4386,false,false,,,
perkeep-perkeep:importer_SetAttrs21483.pml,0,4,4460,false,false,,,
perkeep-perkeep:importer_newFromConfig264.pml,0,14,4425,false,true,,,
perkeep-perkeep:index_New191.pml,0,7,4468,false,false,,,
perkeep-perkeep:index_NewMemoryIndex31.pml,0,4,4334,false,false,,,
perkeep-perkeep:index_Reindex452.pml,0,32,5499,false,false,,Reindex_reindexMaxProcs_v = 0,,
perkeep-perkeep:index_Reindex452.pml,0,33,5317,false,true,,Reindex_reindexMaxProcs_v = 1,,
perkeep-perkeep:index_Reindex452.pml,0,47,5491,false,true,,Reindex_reindexMaxProcs_v = 3,,
perkeep-perkeep:index_newFromConfig346.pml,0,20,4467,false,false,,,
perkeep-perkeep:index_newMemoryIndexFromConfig41.pml,0,9,4262,false,false,,,
perkeep-perkeep:indextest_Delete1047.pml,0,4,4311,false,false,,,
perkeep-perkeep:indextest_EdgesTo979.pml,0,4,4402,false,false,,,
perkeep-perkeep:indextest_MustNew1513.pml,0,4,4661,false,false,,,
perkeep-perkeep:indextest_ShowReindexRace1312.pml,0,4,4376,false,false,,,
perkeep-perkeep:indextest_checkEnumerate1344.pml,0,11,5274,false,true,,,
perkeep-perkeep:leveldb_Wipe142.pml,0,16,4923,false,false,,,
perkeep-perkeep:leveldb_newKeyValueFromJSONConfig54.pml,0,9,4473,false,false,,,
perkeep-perkeep:main_NewLoggingHandler97.pml,0,7,5236,false,false,,,
perkeep-perkeep:main_emailOnTimeout207.pml,0,39,7210,false,false,,,
perkeep-perkeep:main_main844.pml,0,57,5511,false,true,,,
perkeep-perkeep:replica_StatBlobs149.pml,0,4,4260,false,false,,,
perkeep-perkeep:search_GetPermanodesWithAttr574.pml,0,25256,5392,false,false,,,
perkeep-perkeep:search_GetRecentPermanodes514.pml,0,106,5250,false,false,,,
perkeep-perkeep:search_HasLegacySHA1220.pml,0,6,4152,false,false,,,
perkeep-perkeep:search_dirChildren939.pml,0,30,5119,false,true,,,
perkeep-perkeep:search_dirChildren939.pml,1,30,2556,false,true,,int children=1; ,,
perkeep-perkeep:search_dirChildren939.pml,1,30,2523,false,true,,int children=3; ,,
perkeep-perkeep:search_dirChildren939.pml,1,30,2504,false,true,,int children=0; ,,
perkeep-perkeep:search_getDirMembers881.pml,0,26,5114,false,true,,,
perkeep-perkeep:search_getDirMembers881.pml,1,26,2218,false,true,,int children=0; ,,
perkeep-perkeep:search_getDirMembers881.pml,1,26,2221,false,true,,int children=1; ,,
perkeep-perkeep:search_getDirMembers881.pml,1,26,2280,false,true,,int children=3; ,,
perkeep-perkeep:search_newHandlerFromConfig141.pml,0,15,4200,false,false,,,
perkeep-perkeep:search_serveWebSocket310.pml,0,12,4421,false,false,,,
perkeep-perkeep:search_subscribeToNewBlobs115.pml,0,13,4609,false,true,,,
perkeep-perkeep:server_newShareFromConfig124.pml,0,13,4081,false,false,,,
perkeep-perkeep:server_newSyncFromConfig135.pml,0,91,4750,false,false,,,
perkeep-perkeep:server_readQueueToMemory347.pml,0,169,5011,false,true,,,
perkeep-perkeep:server_runFullValidation751.pml,0,13,4165,false,false,,runFullValidation_shards = 0,,
perkeep-perkeep:server_runFullValidation751.pml,0,21,4126,false,false,,runFullValidation_shards = 1,,
perkeep-perkeep:server_runFullValidation751.pml,0,49,4115,false,false,,runFullValidation_shards = 3,,
perkeep-perkeep:server_runSync563.pml,0,26,4941,false,true,,,
perkeep-perkeep:server_uiFromConfig124.pml,0,21,4162,false,false,,,
perkeep-perkeep:server_validateShardPrefix777.pml,0,7,4435,false,true,,,
perkeep-perkeep:serverinit_setupHandler277.pml,0,9,4046,false,false,,,
perkeep-perkeep:shard_batchedShards87.pml,0,9,4533,false,false,,batchedShards_m = 0,,
perkeep-perkeep:shard_batchedShards87.pml,0,21,4545,false,false,,batchedShards_m = 1,,
perkeep-perkeep:shard_batchedShards87.pml,0,76,4441,false,false,,batchedShards_m = 3,,
perkeep-perkeep:storagetest_CheckEnumerate276.pml,0,15,4348,false,false,,,
perkeep-perkeep:test_ImporterTest72.pml,0,4,4122,false,false,,,
perkeep-perkeep:union_Fetch67.pml,0,40,4754,false,false,,Fetch_sto_subsets = 0,,
perkeep-perkeep:union_Fetch67.pml,0,182,4807,false,false,,Fetch_sto_subsets = 1,,
perkeep-perkeep:union_Fetch67.pml,0,5176,4821,false,false,,Fetch_sto_subsets = 3,,
lightningnetwork-lnd:autopilot_New177.pml,0,35,5014,false,false,,,
lightningnetwork-lnd:autopilot_StartAgent99.pml,0,19,4038,false,false,,,
lightningnetwork-lnd:autopilot_StopAgent246.pml,0,9,3990,false,false,,,
lightningnetwork-lnd:batch_Execute45.pml,0,6,4424,false,true,,,
lightningnetwork-lnd:bitcoindnotify_New74.pml,0,16,4524,false,false,,,
lightningnetwork-lnd:bitcoindnotify_createNewNotifier14.pml,0,12,3980,false,false,,,
lightningnetwork-lnd:brontide_NewListener37.pml,0,8021,4437,false,false,,,
lightningnetwork-lnd:btcdnotify_New95.pml,0,27,4549,false,false,,,
lightningnetwork-lnd:btcwallet_New77.pml,0,12,4001,false,false,,,
lightningnetwork-lnd:btcwallet_SubscribeTransactions843.pml,0,15,4452,false,true,,,
lightningnetwork-lnd:build_InitLogRotator62.pml,0,9,3949,false,false,,,
lightningnetwork-lnd:chainfee_NewBitcoindEstimator302.pml,0,5,4045,false,false,,,
lightningnetwork-lnd:chainfee_NewBtcdEstimator142.pml,0,5,3947,false,false,,,
lightningnetwork-lnd:chainreg_NewChainControl229.pml,0,18,4050,false,false,,,
lightningnetwork-lnd:chainview_NewBitcoindFilteredChainView63.pml,0,21,4500,false,false,,,
lightningnetwork-lnd:chainview_NewBtcdFilteredChainView61.pml,0,36,4493,false,false,,,
lightningnetwork-lnd:chainview_Start74.pml,0,9,3934,false,false,,,
lightningnetwork-lnd:chainview_newBlockEventQueue51.pml,0,13,4439,false,false,,,
lightningnetwork-lnd:chanfitness_NewChannelEventStore128.pml,0,13,4442,false,false,,,
lightningnetwork-lnd:chanfunding_ProvisionChannel435.pml,0,12,4334,false,false,,,
lightningnetwork-lnd:contractcourt_GetChannelArbitrator968.pml,0,5,3973,false,false,,,
lightningnetwork-lnd:contractcourt_ResolveContract403.pml,0,13,3984,false,false,,,
lightningnetwork-lnd:contractcourt_SubscribeChannelEvents1117.pml,0,5,3972,false,false,,,
lightningnetwork-lnd:contractcourt_SubscribeChannelEvents296.pml,0,22,4473,false,false,,,
lightningnetwork-lnd:contractcourt_UpdateContractSignals948.pml,0,5,3990,false,false,,,
lightningnetwork-lnd:contractcourt_WatchNewChannel1059.pml,0,33,4122,false,false,,,
lightningnetwork-lnd:discovery_New317.pml,0,21,4490,false,false,,,
lightningnetwork-lnd:discovery_createGossipSyncer407.pml,0,4,3956,false,false,,,
lightningnetwork-lnd:discovery_gossipSyncer657.pml,0,6,4013,false,false,,,
lightningnetwork-lnd:discovery_removeGossipSyncer443.pml,0,23,4049,false,false,,,
lightningnetwork-lnd:discovery_rotateActiveSyncerCandidate480.pml,0,14,4010,false,false,,,
lightningnetwork-lnd:discovery_spawnPeerHandler134.pml,0,12,4310,false,false,,,
lightningnetwork-lnd:discovery_transitionActiveSyncer521.pml,0,8,4096,false,false,,,
lightningnetwork-lnd:discovery_transitionPassiveSyncer538.pml,0,8,4057,false,false,,,
lightningnetwork-lnd:funding_continueFundingAccept1758.pml,0,the model is not executable,,,,,
lightningnetwork-lnd:funding_handleFundingOpen1176.pml,0,22,4484,false,false,,,
lightningnetwork-lnd:htlcswitch_New295.pml,0,20,4489,false,false,,,
lightningnetwork-lnd:htlcswitch_makePayment758.pml,0,22,4395,false,false,,,
lightningnetwork-lnd:htlcswitch_newHopNetwork1124.pml,0,8,4336,false,false,,,
lightningnetwork-lnd:htlcswitch_newMemoryMailBox137.pml,0,27,4739,false,false,,,
lightningnetwork-lnd:htlcswitch_newMockRegistry793.pml,0,4,4007,false,false,,,
lightningnetwork-lnd:htlcswitch_newMockServer189.pml,0,5,3990,false,false,,,
lightningnetwork-lnd:htlcswitch_newThreeHopNetwork982.pml,0,12,4075,false,false,,,
lightningnetwork-lnd:htlcswitch_newTwoHopNetwork1237.pml,0,7,4019,false,false,,,
lightningnetwork-lnd:htlcswitch_preparePayment792.pml,0,10,3974,false,false,,,
lightningnetwork-lnd:htlcswitch_stop1307.pml,0,55,4617,false,false,,,
lightningnetwork-lnd:htlcswitch_stop870.pml,0,178,4752,false,false,,,
lightningnetwork-lnd:htlcswitch_timeout1412.pml,0,9,4531,false,false,,,
lightningnetwork-lnd:htlcswitch_waitForPayFuncResult741.pml,0,11,4539,false,true,,,
lightningnetwork-lnd:lnd_BroadcastMessage2591.pml,0,97,4060,false,false,,BroadcastMessage_peers = 3,,
lightningnetwork-lnd:lnd_BroadcastMessage2591.pml,0,21,4075,false,false,,BroadcastMessage_peers = 1,,
lightningnetwork-lnd:lnd_BroadcastMessage2591.pml,0,9,4032,false,false,,BroadcastMessage_peers = 0,,
lightningnetwork-lnd:lnd_ChannelAcceptor6401.pml,0,4,3982,false,false,,,
lightningnetwork-lnd:lnd_DisconnectPeer3591.pml,0,5,4048,false,false,,,
lightningnetwork-lnd:lnd_EstimateFee1121.pml,0,10,3958,false,false,,,
lightningnetwork-lnd:lnd_InboundPeerConnected2800.pml,0,16,4012,false,false,,,
lightningnetwork-lnd:lnd_OutboundPeerConnected2886.pml,0,17,4073,false,false,,,
lightningnetwork-lnd:lnd_PopulateDependencies85.pml,0,4,3959,false,false,,,
lightningnetwork-lnd:lnd_SendCoins1174.pml,0,19,4113,false,false,,,
lightningnetwork-lnd:lnd_SendMany1314.pml,0,11,4068,false,false,,,
lightningnetwork-lnd:lnd_SubscribeUpdates33.pml,0,10,4280,false,false,,,
lightningnetwork-lnd:lnd_addPeer3164.pml,0,9,3990,false,false,,,
lightningnetwork-lnd:lnd_arbitratorPopulateForceCloseResp3170.pml,0,5,3970,false,false,,,
lightningnetwork-lnd:lnd_findPeerByPubStr2726.pml,0,5,4066,false,false,,,
lightningnetwork-lnd:lnd_peerConnected3049.pml,0,9,4023,false,false,,,
lightningnetwork-lnd:lntest_LookUpNodeByPub108.pml,0,5,3935,false,false,,,
lightningnetwork-lnd:lntest_NewNetworkHarness85.pml,0,10,4449,false,false,,,
lightningnetwork-lnd:lntest_NewNodeWithSeed284.pml,0,7,3972,false,false,,,
lightningnetwork-lnd:lntest_RegisterNode418.pml,0,4,5165,false,false,,,
lightningnetwork-lnd:lntest_RestoreNodeWithSeed340.pml,0,6,5333,false,false,,,
lightningnetwork-lnd:lntest_newNode373.pml,0,13,4898,false,false,,,
lightningnetwork-lnd:lntest_startFeeService39.pml,0,13,4986,false,false,,,
lightningnetwork-lnd:lnwallet_Cancel687.pml,0,6,6126,false,true,,,
lightningnetwork-lnd:lnwallet_CompleteReservation584.pml,0,11,4599,false,true,,,
lightningnetwork-lnd:lnwallet_CompleteReservationSingle611.pml,0,11,4659,false,true,,,
lightningnetwork-lnd:lnwallet_ProcessContribution477.pml,0,6,4690,false,true,,,
lightningnetwork-lnd:lnwallet_ProcessPsbt506.pml,0,6,4421,false,true,,,
lightningnetwork-lnd:lnwallet_ProcessSingleContribution531.pml,0,6,4929,false,true,,,
lightningnetwork-lnd:lnwallettest_TestLightningWallet3089.pml,0,4,5177,false,false,,,
lightningnetwork-lnd:lnwallettest_createTestWallet320.pml,0,11,4008,false,false,,,
lightningnetwork-lnd:lnwallettest_runTests3159.pml,0,7,4136,false,false,,,
lightningnetwork-lnd:neutrinonotify_createNewNotifier13.pml,0,11,4078,false,false,,,
lightningnetwork-lnd:neutrinonotify_startNotifier153.pml,0,8,4072,false,false,,,
lightningnetwork-lnd:peer_NewBrontide421.pml,0,33,5041,false,false,,,
lightningnetwork-lnd:peer_Start446.pml,0,115,4836,false,false,,,
lightningnetwork-lnd:peer_newMsgStream998.pml,0,22,4676,false,true,,newMsgStream_bufSize = 1,,
lightningnetwork-lnd:peer_newMsgStream998.pml,1,32,2015,false,false,,newMsgStream_bufSize = 1,int uint32101511=0; ,,
lightningnetwork-lnd:peer_newMsgStream998.pml,1,15,2221,false,false,,newMsgStream_bufSize = 1,int uint32101511=1; ,,
lightningnetwork-lnd:peer_newMsgStream998.pml,1,15,2988,false,false,,newMsgStream_bufSize = 1,int uint32101511=3; ,,
lightningnetwork-lnd:peer_newMsgStream998.pml,0,38,6243,false,true,,newMsgStream_bufSize = 3,,
lightningnetwork-lnd:peer_newMsgStream998.pml,1,48,2311,false,false,,newMsgStream_bufSize = 3,int uint32101511=1; ,,
lightningnetwork-lnd:peer_newMsgStream998.pml,1,64,2224,false,false,,newMsgStream_bufSize = 3,int uint32101511=0; ,,
lightningnetwork-lnd:peer_newMsgStream998.pml,1,15,2147,false,false,,newMsgStream_bufSize = 3,int uint32101511=3; ,,
lightningnetwork-lnd:peer_newMsgStream998.pml,0,13,4958,false,true,,newMsgStream_bufSize = 0,,
lightningnetwork-lnd:peer_newMsgStream998.pml,1,14,2247,false,false,,newMsgStream_bufSize = 0,int uint32101511=0; ,,
lightningnetwork-lnd:peer_newMsgStream998.pml,1,14,2315,false,false,,newMsgStream_bufSize = 0,int uint32101511=3; ,,
lightningnetwork-lnd:peer_newMsgStream998.pml,1,14,2232,false,false,,newMsgStream_bufSize = 0,int uint32101511=1; ,,
lightningnetwork-lnd:pool_NewRead19.pml,0,4,4184,false,false,,,
lightningnetwork-lnd:pool_NewWrite22.pml,0,4,4304,false,false,,,
lightningnetwork-lnd:routerrpc_New139.pml,0,12,4649,false,false,,,
lightningnetwork-lnd:routing_New426.pml,0,17,4959,false,false,,,
